year,site,rep,plot,treatment,d15n_leaftip
2021,IA01401,1,101,PROVEN40,2.999751836
2021,IA01401,1,104,UTC,3.1293677336
2021,IA01401,2,202,UTC,2.6067893528
2021,IA01401,2,205,PROVEN40,2.2609913576
2021,IA01401,3,305,UTC,3.2795575832
2021,IA01401,3,308,PROVEN40,2.7909262232
2021,IA01401,4,407,UTC,2.7785574435
2021,IA01401,4,410,PROVEN40,3.5239094868
2021,IA01401,5,502,UTC,2.3335413641
2021,IA01401,5,503,PROVEN40,3.2844389508
2021,IA01401,6,608,PROVEN40,2.3235634251
2021,IA01401,6,609,UTC,2.1421120735
2022,NY01301,1,102,UTC,2.22
2022,NY01301,1,108,UTC,0.91
2022,NY01301,1,109,PROVEN40,0.91
2022,NY01301,2,203,UTC,1.6
2022,NY01301,2,204,PROVEN40,0.94
2022,NY01301,2,208,UTC,-0.51
2022,NY01301,3,302,PROVEN40,3.3599999
2022,NY01301,3,306,UTC,1.87
2022,NY01301,3,310,UTC,2.23
2022,NY01301,4,402,UTC,3.43
2022,NY01301,4,404,UTC,3.43
2022,NY01301,4,407,PROVEN40,2.79
2022,NY01301,5,504,PROVEN40,4.0099999
2022,NY01301,5,507,UTC,3.8999999
2022,NY01301,5,509,UTC,3.5099999
2022,NY01301,6,602,UTC,2.4199999
2022,NY01301,6,605,UTC,2.68
2022,NY01301,6,609,PROVEN40,4.73
2022,KS01301,1,102,UTC,8.6799999
2022,KS01301,1,108,UTC,7.9
2022,KS01301,1,109,PROVEN40,9.0999999
2022,KS01301,2,203,UTC,7.4
2022,KS01301,2,204,PROVEN40,5.7
2022,KS01301,2,208,UTC,6.12
2022,KS01301,3,302,PROVEN40,8.14
2022,KS01301,3,306,UTC,7.7599999
2022,KS01301,3,310,UTC,9.99
2022,KS01301,4,402,UTC,8.15
2022,KS01301,4,404,UTC,9.1899999
2022,KS01301,4,407,PROVEN40,6.73
2022,KS01301,5,504,PROVEN40,5.73
2022,KS01301,5,507,UTC,8.4299999
2022,KS01301,5,509,UTC,8.6099999
2022,KS01301,6,602,UTC,4.8099999
2022,KS01301,6,605,UTC,5.0599999
2022,KS01301,6,609,PROVEN40,8.1099999
2022,IL06301,1,102,UTC,4.37
2022,IL06301,1,108,UTC,0.97
2022,IL06301,1,109,PROVEN40,1.81
2022,IL06301,2,203,UTC,3.4399999
2022,IL06301,2,204,PROVEN40,-1.05
2022,IL06301,2,208,UTC,-0.95
2022,IL06301,3,302,PROVEN40,2.4399999
2022,IL06301,3,306,UTC,1.1799999
2022,IL06301,3,310,UTC,1.34
2022,IL06301,4,402,UTC,1.24
2022,IL06301,4,404,UTC,3.1499999
2022,IL06301,4,407,PROVEN40,2.47
2022,IL06301,5,504,PROVEN40,1.4299999
2022,IL06301,5,507,UTC,3.98
2022,IL06301,5,509,UTC,0.65
